;home_id;timestamp;unix_time;date_local;time_local;utc_offset;T_out_avg_C;wind_avg_m_p_s;irradiation_hor_avg_W_p_m2;T_out_e_avg_C;T_in_avg_C;T_set_first_C;interval_s;gas_sup_avg_W;e_used_avg_W;e_returned_avg_W;e_remaining_heat_avg_W;sanity_frac;;
0;150080;2022-01-03 00:00:00;1641168000;2022-01-03;00:00:00;1,00;10,05;8,17;0,00;4,60;17,89;13,00;900;128;84;0;84;1;;
1;150080;2022-01-03 00:15:00;1641168900;2022-01-03;00:15:00;1,00;10,03;8,17;0,00;4,58;17,86;13,00;900;128;92;0;92;1;;
2;150080;2022-01-03 00:30:00;1641169800;2022-01-03;00:30:00;1,00;10,02;8,17;0,00;4,57;17,82;13,00;900;128;28;0;28;1;;
3;150080;2022-01-03 00:45:00;1641170700;2022-01-03;00:45:00;1,00;10,00;8,17;0,00;4,56;17,79;13,00;900;128;32;0;32;1;;
4;150080;2022-01-03 01:00:00;1641171600;2022-01-03;01:00:00;1,00;9,99;8,17;0,00;4,54;17,75;13,00;900;128;28;0;28;1;;
5;150080;2022-01-03 01:15:00;1641172500;2022-01-03;01:15:00;1,00;9,94;8,11;0,00;4,53;17,72;13,00;900;128;32;0;32;1;;
6;150080;2022-01-03 01:30:00;1641173400;2022-01-03;01:30:00;1,00;9,89;8,04;0,00;4,53;17,68;13,00;900;128;28;0;28;1;;
7;150080;2022-01-03 01:45:00;1641174300;2022-01-03;01:45:00;1,00;9,84;7,98;0,00;4,52;17,65;13,00;900;128;32;0;32;1;;
8;150080;2022-01-03 02:00:00;1641175200;2022-01-03;02:00:00;1,00;9,79;7,91;0,00;4,51;17,61;13,00;900;128;88;0;88;1;;
9;150080;2022-01-03 02:15:00;1641176100;2022-01-03;02:15:00;1,00;9,71;7,91;0,00;4,44;17,58;13,00;900;128;88;0;88;1;;
10;150080;2022-01-03 02:30:00;1641177000;2022-01-03;02:30:00;1,00;9,63;7,91;0,00;4,36;17,54;13,00;900;128;32;0;32;1;;
11;150080;2022-01-03 02:45:00;1641177900;2022-01-03;02:45:00;1,00;9,55;7,91;0,00;4,28;17,51;13,00;900;128;28;0;28;1;;
12;150080;2022-01-03 03:00:00;1641178800;2022-01-03;03:00:00;1,00;9,47;7,91;0,00;4,20;17,47;13,00;900;128;32;0;32;1;;
13;150080;2022-01-03 03:15:00;1641179700;2022-01-03;03:15:00;1,00;9,55;7,89;0,00;4,29;17,44;13,00;900;128;28;0;28;1;;
14;150080;2022-01-03 03:30:00;1641180600;2022-01-03;03:30:00;1,00;9,64;7,87;0,00;4,39;17,40;13,00;900;128;32;0;32;1;;
15;150080;2022-01-03 03:45:00;1641181500;2022-01-03;03:45:00;1,00;9,72;7,85;0,00;4,49;17,37;13,00;900;128;32;0;32;1;;
16;150080;2022-01-03 04:00:00;1641182400;2022-01-03;04:00:00;1,00;9,81;7,83;0,00;4,59;17,33;13,00;900;128;72;0;72;1;;
17;150080;2022-01-03 04:15:00;1641183300;2022-01-03;04:15:00;1,00;9,77;7,80;0,00;4,57;17,30;13,00;900;128;104;0;104;1;;
18;150080;2022-01-03 04:30:00;1641184200;2022-01-03;04:30:00;1,00;9,74;7,78;0,00;4,55;17,27;13,00;900;128;32;0;32;1;;
19;150080;2022-01-03 04:45:00;1641185100;2022-01-03;04:45:00;1,00;9,71;7,76;0,00;4,54;17,24;13,00;900;128;28;0;28;1;;
20;150080;2022-01-03 05:00:00;1641186000;2022-01-03;05:00:00;1,00;9,68;7,74;0,00;4,52;17,20;13,00;900;128;32;0;32;1;;
21;150080;2022-01-03 05:15:00;1641186900;2022-01-03;05:15:00;1,00;9,64;7,49;0,00;4,64;17,17;13,00;900;128;28;0;28;1;;
22;150080;2022-01-03 05:30:00;1641187800;2022-01-03;05:30:00;1,00;9,60;7,24;0,00;4,77;17,14;13,00;900;128;32;0;32;1;;
23;150080;2022-01-03 05:45:00;1641188700;2022-01-03;05:45:00;1,00;9,56;6,99;0,00;4,90;17,10;13,00;900;128;32;0;32;1;;
24;150080;2022-01-03 06:00:00;1641189600;2022-01-03;06:00:00;1,00;9,52;6,74;0,00;5,02;17,07;13,00;900;128;36;0;36;1;;
25;150080;2022-01-03 06:15:00;1641190500;2022-01-03;06:15:00;1,00;9,50;6,60;0,00;5,10;17,04;13,00;900;128;180;0;180;1;;
26;150080;2022-01-03 06:30:00;1641191400;2022-01-03;06:30:00;1,00;9,48;6,46;0,00;5,17;17,01;13,00;900;128;76;0;76;1;;
27;150080;2022-01-03 06:45:00;1641192300;2022-01-03;06:45:00;1,00;9,46;6,31;0,00;5,25;16,98;13,00;900;128;30;0;30;1;;
28;150080;2022-01-03 07:00:00;1641193200;2022-01-03;07:00:00;1,00;9,44;6,17;0,00;5,33;16,95;13,00;900;128;34;0;34;1;;
29;150080;2022-01-03 07:15:00;1641194100;2022-01-03;07:15:00;1,00;9,52;6,17;0,45;5,41;16,92;13,00;900;128;584;0;584;1;;
30;150080;2022-01-03 07:30:00;1641195000;2022-01-03;07:30:00;1,00;9,61;6,17;0,91;5,49;16,90;15,67;900;128;152;0;152;1;;
31;150080;2022-01-03 07:45:00;1641195900;2022-01-03;07:45:00;1,00;9,69;6,17;1,36;5,58;16,88;17,00;900;15128;44;0;44;1;;
32;150080;2022-01-03 08:00:00;1641196800;2022-01-03;08:00:00;1,00;9,78;6,17;1,82;5,66;17,15;17,00;900;15128;64;0;64;1;;
33;150080;2022-01-03 08:15:00;1641197700;2022-01-03;08:15:00;1,00;9,83;6,17;5,31;5,71;17,42;17,00;900;5668;184;0;184;1;;
34;150080;2022-01-03 08:30:00;1641198600;2022-01-03;08:30:00;1,00;9,88;6,17;8,81;5,77;17,51;17,00;900;128;2036;0;2036;1;;
35;150080;2022-01-03 08:45:00;1641199500;2022-01-03;08:45:00;1,00;9,93;6,17;12,30;5,82;17,52;17,00;900;128;2024;0;2024;1;;
36;150080;2022-01-03 09:00:00;1641200400;2022-01-03;09:00:00;1,00;9,98;6,17;15,80;5,87;17,54;17,00;900;128;1520;0;1520;1;;
37;150080;2022-01-03 09:15:00;1641201300;2022-01-03;09:15:00;1,00;10,01;6,33;25,78;5,79;17,54;17,33;900;15128;136;0;136;1;;
38;150080;2022-01-03 09:30:00;1641202200;2022-01-03;09:30:00;1,00;10,04;6,50;35,76;5,71;17,82;18,00;900;15128;132;0;132;1;;
39;150080;2022-01-03 09:45:00;1641203100;2022-01-03;09:45:00;1,00;10,07;6,66;45,75;5,63;18,11;18,00;900;15128;160;0;160;1;;
