,T,FH,Q
2021-10-21 00:00:00+00:00,13.186462127807772,3.17432558213153,-2e-323
2021-10-21 01:00:00+00:00,13.60609521472781,4.600970667848628,-2e-323
2021-10-21 02:00:00+00:00,11.390291121206843,8.860625267123616,-2e-323
2021-10-21 03:00:00+00:00,10.705037816788824,7.468931030661793,-2e-323
2021-10-21 04:00:00+00:00,10.749611812008297,5.259654599274995,-2e-323
2021-10-21 05:00:00+00:00,10.042664508571704,5.604638215693399,-2e-323
2021-10-21 06:00:00+00:00,10.524055973279726,5.0853290171434224,1.9999999987691932
2021-10-21 07:00:00+00:00,11.028727035284078,6.430312633561808,13.996332452155457
2021-10-21 08:00:00+00:00,11.304304307219894,6.860625267123602,56.53182609659234
2021-10-21 09:00:00+00:00,11.8209176230352,7.911003435011878,109.08297532173856
2021-10-21 10:00:00+00:00,10.101909486647777,6.480690801449953,44.496446583192665
2021-10-21 11:00:00+00:00,9.512027986639861,5.000000002447298,31.28360280499578
2021-10-21 12:00:00+00:00,9.737259936998399,4.689967232836807,40.248752156775026
2021-10-21 13:00:00+00:00,10.501952353062222,4.949621832111802,62.508735219160044
2021-10-21 14:00:00+00:00,10.412837208934207,6.209276431386797,58.64368527693796
2021-10-21 15:00:00+00:00,9.67951482437121,5.949621832111745,24.609062890791847
2021-10-21 16:00:00+00:00,8.367896458930232,5.03495084925521,2.740345400725033
2021-10-21 17:00:00+00:00,7.796914536273391,5.3449836164184035,-2e-323
2021-10-21 18:00:00+00:00,7.526817548636281,4.604638215693399,-2e-323
2021-10-21 19:00:00+00:00,7.333365250977465,4.604638215693399,-2e-323
2021-10-21 20:00:00+00:00,7.064810995203647,4.604638215693399,-2e-323
2021-10-21 21:00:00+00:00,7.065544504772589,4.0853290171434224,-2e-323
2021-10-21 22:00:00+00:00,7.425156237633132,4.000000000621878,-2e-323
2021-10-21 23:00:00+00:00,7.184401215709187,3.740345400725033,-2e-323
2021-10-22 00:00:00+00:00,7.132070694758681,4.000000000621878,-2e-323
2021-10-22 01:00:00+00:00,6.658921089706041,4.825674417868413,-2e-323
2021-10-22 02:00:00+00:00,7.26465956975278,5.0853290171434224,-2e-323
2021-10-22 03:00:00+00:00,7.691801006759135,5.259654599274995,-2e-323
2021-10-22 04:00:00+00:00,7.758230446551522,5.949621832111745,-2e-323
2021-10-22 05:00:00+00:00,7.831089009545195,6.430312633561808,-2e-323
2021-10-22 06:00:00+00:00,8.019061022905333,5.949621832111745,4.8293419657131835
2021-10-22 07:00:00+00:00,8.715932692764284,6.775296249980201,23.863864150824043
2021-10-22 08:00:00+00:00,9.827917812989725,7.6899672328367785,69.23150998053006
2021-10-22 09:00:00+00:00,11.072125053424724,7.775296249980201,87.63010067592222
2021-10-22 10:00:00+00:00,10.394671141152116,8.170658034286816,46.730099884445735
2021-10-22 11:00:00+00:00,10.478629889351453,7.085329017143408,34.12319028698903
2021-10-22 12:00:00+00:00,10.677529624998023,5.604638215693399,55.84153040064584
2021-10-22 13:00:00+00:00,10.329460544853013,4.949621832111802,44.70506608835967
2021-10-22 14:00:00+00:00,9.88955761163788,4.604638215693399,30.268604150507258
2021-10-22 15:00:00+00:00,9.258187580137085,3.689967232836807,21.166233359188027
2021-10-22 16:00:00+00:00,8.248554414069332,3.689967232836807,1.9999999987691932
2021-10-22 17:00:00+00:00,8.239978645940482,3.3449836164183893,-2e-323
2021-10-22 18:00:00+00:00,6.786547860636659,2.999999989214411,-2e-323
2021-10-22 19:00:00+00:00,6.757044449369232,2.9146709828565633,-2e-323
2021-10-22 20:00:00+00:00,5.734616940781706,2.6550163835816107,-2e-323
2021-10-22 21:00:00+00:00,5.940485017333458,2.6550163835816107,-2e-323
2021-10-22 22:00:00+00:00,6.202858325550324,2.740345400725033,-2e-323
2021-10-22 23:00:00+00:00,6.222276083136819,2.6550163835816107,-2e-323
2021-10-23 00:00:00+00:00,5.104228594494458,1.9999999987691932,-2e-323
2021-10-23 01:00:00+00:00,5.1374323999176,1.9146709828565918,-2e-323
2021-10-23 02:00:00+00:00,4.781639640352694,1.0000000046130535,-2e-323
2021-10-23 03:00:00+00:00,4.598705443781341,1.7403454007250332,-2e-323
2021-10-23 04:00:00+00:00,4.170388029696255,1.9999999987691932,-2e-323
2021-10-23 05:00:00+00:00,3.129675874186546,1.2596545992749952,-2e-323
2021-10-23 06:00:00+00:00,3.550312475266253,1.2596545992749952,7.341316068573633
2021-10-23 07:00:00+00:00,6.706914457125606,1.3449836164184035,48.5339793899293
2021-10-23 08:00:00+00:00,8.740636442784108,1.3449836164184035,74.91262786316946
2021-10-23 09:00:00+00:00,10.096138160289996,2.259654599274967,75.56559115444907
2021-10-23 10:00:00+00:00,10.984476928434624,2.9146709828565633,72.41359932249588
2021-10-23 11:00:00+00:00,11.401542731863316,2.9146709828565633,67.33193785319668
2021-10-23 12:00:00+00:00,11.663182530511449,2.1706580342868165,53.78253114463496
2021-10-23 13:00:00+00:00,11.610075633577637,2.1706580342868165,32.938190524432684
2021-10-23 14:00:00+00:00,11.387972013360137,1.6899672328367785,21.596545992749952
2021-10-23 15:00:00+00:00,10.85696873664383,2.3449836164184035,8.569687366438192
2021-10-23 16:00:00+00:00,10.599999998647654,2.3449836164184035,0.08532901714340824
2021-10-23 17:00:00+00:00,10.451564165070522,2.259654599274967,-2e-323
2021-10-23 18:00:00+00:00,10.317065803428683,2.6046382156933987,-2e-323
2021-10-23 19:00:00+00:00,10.252297674639479,2.6046382156933987,-2e-323
2021-10-23 20:00:00+00:00,9.530560809206463,2.3449836164184035,-2e-323
