;home_id;timestamp;unix_time;date_local;time_local;utc_offset;T_out_avg_C;wind_avg_m_p_s;irradiation_hor_avg_W_p_m2;T_out_e_avg_C;T_in_avg_C;T_set_first_C;interval_s;gas_sup_avg_W;e_used_avg_W;e_returned_avg_W;e_remaining_heat_avg_W;sanity_frac;;
0;300040;2022-01-03 00:00:00;1641168000;2022-01-03;00:00:00;1,00;10,05;8,17;0,00;4,60;17,89;13,00;900;128;84;0;84;1;;
1;300040;2022-01-03 00:15:00;1641168900;2022-01-03;00:15:00;1,00;10,03;8,17;0,00;4,58;17,81;13,00;900;128;92;0;92;1;;
2;300040;2022-01-03 00:30:00;1641169800;2022-01-03;00:30:00;1,00;10,02;8,17;0,00;4,57;17,74;13,00;900;128;28;0;28;1;;
3;300040;2022-01-03 00:45:00;1641170700;2022-01-03;00:45:00;1,00;10,00;8,17;0,00;4,56;17,66;13,00;900;128;32;0;32;1;;
4;300040;2022-01-03 01:00:00;1641171600;2022-01-03;01:00:00;1,00;9,99;8,17;0,00;4,54;17,59;13,00;900;128;28;0;28;1;;
5;300040;2022-01-03 01:15:00;1641172500;2022-01-03;01:15:00;1,00;9,94;8,11;0,00;4,53;17,51;13,00;900;128;32;0;32;1;;
6;300040;2022-01-03 01:30:00;1641173400;2022-01-03;01:30:00;1,00;9,89;8,04;0,00;4,53;17,44;13,00;900;128;28;0;28;1;;
7;300040;2022-01-03 01:45:00;1641174300;2022-01-03;01:45:00;1,00;9,84;7,98;0,00;4,52;17,36;13,00;900;128;32;0;32;1;;
8;300040;2022-01-03 02:00:00;1641175200;2022-01-03;02:00:00;1,00;9,79;7,91;0,00;4,51;17,29;13,00;900;128;88;0;88;1;;
9;300040;2022-01-03 02:15:00;1641176100;2022-01-03;02:15:00;1,00;9,71;7,91;0,00;4,44;17,22;13,00;900;128;88;0;88;1;;
10;300040;2022-01-03 02:30:00;1641177000;2022-01-03;02:30:00;1,00;9,63;7,91;0,00;4,36;17,14;13,00;900;128;32;0;32;1;;
11;300040;2022-01-03 02:45:00;1641177900;2022-01-03;02:45:00;1,00;9,55;7,91;0,00;4,28;17,07;13,00;900;128;28;0;28;1;;
12;300040;2022-01-03 03:00:00;1641178800;2022-01-03;03:00:00;1,00;9,47;7,91;0,00;4,20;16,99;13,00;900;128;32;0;32;1;;
